Country Name,2005,2006,2007,2008,2009,2010
Chad,,,,,,
East Asia & Pacific (IDA & IBRD countries),1476.951629,1666.712487,1879.529619,1969.345694,2100.064958,2351.640574
Europe & Central Asia (IDA & IBRD countries),3712.117242,3894.876207,4005.16499,4076.929476,3866.56199,4076.790627
Togo,109.4153709,108.4526993,102.3586404,104.8752699,124.1433151,124.1109405
Thailand,1914.801243,2005.256141,2080.246394,2105.440202,2101.146287,2307.804541
Tajikistan,2149.553166,2137.783691,2073.154518,1947.038554,1911.130205,1893.217536
Turkmenistan,2051.674865,2115.542376,2254.349052,2316.560857,2353.456592,2382.051777
Latin America & the Caribbean (IDA & IBRD countries),1766.517369,1813.252015,1874.226779,1928.166818,1907.607403,2000.345291
Timor-Leste,,,,,,
Middle East & North Africa (IDA & IBRD countries),1310.755193,1387.051816,1423.195764,1460.940156,1496.507053,1626.69688
Tonga,,,,,,
South Asia (IDA & IBRD),430.6716503,466.8476399,492.3447794,503.4397452,535.6271287,570.9088741
Sub-Saharan Africa (IDA & IBRD countries),525.1737159,530.0320993,539.6807214,516.2286617,493.503632,508.1928342
Trinidad and Tobago,5143.860726,5309.576892,5672.360426,5711.138279,5717.223059,6189.08793
Tunisia,1083.53028,1107.613596,1151.024932,1188.927857,1274.120625,1364.989711
Turkiye,2013.888512,2179.071457,2347.637934,2422.711768,2314.690768,2491.628575
Tuvalu,,,,,,
Tanzania,79.60921421,65.36250806,81.78181408,86.34789591,72.43377243,96.62536859
Uganda,,,,,,
Ukraine,3246.034284,3399.519695,3528.92445,3534.357992,3227.953261,3549.844551
Upper middle income,2150.100216,2345.180018,2546.767305,2635.07192,2700.706849,2956.925082
Uruguay,2001.927269,2224.692767,2419.146918,2594.43911,2670.10899,2815.787821
United States,13704.57705,13583.26696,13657.45283,13663.42797,12913.71469,13394.90276
Uzbekistan,1717.201055,1755.759629,1664.061337,1652.65101,1643.149881,1653.467496
St. Vincent and the Grenadines,,,,,,
"Venezuela, RB",2886.490448,2999.308385,3019.16488,3125.254764,3090.969608,3195.681623
British Virgin Islands,,,,,,
Virgin Islands (U.S.),,,,,,
Vietnam,569.9568505,645.2089812,728.0882694,802.5539431,906.1541067,1022.43262
Vanuatu,,,,,,
World,2656.330739,2732.640247,2822.327116,2843.608543,2794.202268,2958.343199
Samoa,,,,,,
Kosovo,2169.095663,2225.018842,2395.863861,2644.526129,2558.084877,2649.689133
"Yemen, Rep.",183.6635796,193.8838093,211.2062513,230.1281615,226.9894598,254.849372
South Africa,4636.930681,4721.932996,4851.692494,4665.176039,4428.154257,4542.596206
Zambia,692.7151634,704.5621488,664.1628325,589.5615616,568.4388408,590.5488952
Zimbabwe,891.8829379,871.9512556,760.2040483,627.8901993,585.4570988,606.6439602
